rank,name,city,state,score,category,type
1,IIT Madras,Chennai,Tamil Nadu,90.04,Engineering,Government
2,IIT Bombay,Mumbai,Maharashtra,83.96,Engineering,Government
3,IIT Delhi,New Delhi,Delhi,82.13,Engineering,Government
4,IIT Kanpur,Kanpur,Uttar Pradesh,77.81,Engineering,Government
5,IIT Roorkee,Roorkee,Uttarakhand,75.26,Engineering,Government
6,IIT Kharagpur,Kharagpur,West Bengal,74.91,Engineering,Government
7,IIT Hyderabad,Hyderabad,Telangana,65.84,Engineering,Government
8,NIT Trichy,Tiruchirappalli,Tamil Nadu,61.05,Engineering,Government
9,IIT Guwahati,Guwahati,Assam,60.98,Engineering,Government
10,IIT BHU Varanasi,Varanasi,Uttar Pradesh,60.57,Engineering,Government
11,IIT Gandhinagar,Gandhinagar,Gujarat,58.74,Engineering,Government
12,VIT Vellore,Vellore,Tamil Nadu,57.28,Engineering,Private
13,BITS Pilani,Pilani,Rajasthan,56.99,Engineering,Private
14,Jadavpur University,Kolkata,West Bengal,56.31,Engineering,Government
15,NIT Karnataka Surathkal,Surathkal,Karnataka,55.47,Engineering,Government
16,IIT Indore,Indore,Madhya Pradesh,54.63,Engineering,Government
17,IIT Patna,Patna,Bihar,53.41,Engineering,Government
18,Amrita School of Engineering,Coimbatore,Tamil Nadu,52.9,Engineering,Private
19,PSG College of Technology,Coimbatore,Tamil Nadu,52.41,Engineering,Private
20,SASTRA Deemed University,Thanjavur,Tamil Nadu,51.87,Engineering,Private
21,Manipal Institute of Technology,Manipal,Karnataka,51.34,Engineering,Private
22,SRM Institute of Science,Chennai,Tamil Nadu,50.78,Engineering,Private
23,Anna University,Chennai,Tamil Nadu,50.22,Engineering,Government
24,Thapar Institute of Engineering,Patiala,Punjab,49.67,Engineering,Private
25,NIT Warangal,Warangal,Telangana,49.15,Engineering,Government
26,IIT Jodhpur,Jodhpur,Rajasthan,48.9,Engineering,Government
27,IIT Mandi,Mandi,Himachal Pradesh,48.12,Engineering,Government
28,COEP Technological University,Pune,Maharashtra,47.89,Engineering,Government
29,BMS College of Engineering,Bengaluru,Karnataka,47.35,Engineering,Private
30,Kalinga Institute of Industrial Tech,Bhubaneswar,Odisha,47.01,Engineering,Private
31,Vellore Institute of Technology AP,Amaravati,Andhra Pradesh,46.78,Engineering,Private
32,NIT Rourkela,Rourkela,Odisha,46.44,Engineering,Government
33,RVCE Bengaluru,Bengaluru,Karnataka,45.91,Engineering,Private
34,Birla Institute of Technology Mesra,Ranchi,Jharkhand,45.67,Engineering,Private
35,NIT Calicut,Calicut,Kerala,45.23,Engineering,Government
36,College of Engineering Pune,Pune,Maharashtra,44.89,Engineering,Government
37,Sri Sivasubramaniya Nadar College,Kalavakkam,Tamil Nadu,44.52,Engineering,Private
38,Shanmugha Arts Science Technology,Thanjavur,Tamil Nadu,44.18,Engineering,Private
39,MIT Manipal,Manipal,Karnataka,43.85,Engineering,Private
40,Visvesvaraya NIT Nagpur,Nagpur,Maharashtra,43.51,Engineering,Government
1,IISc Bengaluru,Bengaluru,Karnataka,83.57,University,Government
2,JNU New Delhi,New Delhi,Delhi,68.43,University,Government
3,Jadavpur University,Kolkata,West Bengal,66.78,University,Government
4,Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,65.11,University,Private
5,University of Hyderabad,Hyderabad,Telangana,64.89,University,Government
6,Banaras Hindu University,Varanasi,Uttar Pradesh,63.47,University,Government
7,Manipal Academy of Higher Education,Manipal,Karnataka,62.03,University,Private
8,Saveetha Institute of Medical Sciences,Chennai,Tamil Nadu,61.28,University,Private
9,Vellore Institute of Technology,Vellore,Tamil Nadu,60.94,University,Private
10,Jamia Millia Islamia,New Delhi,Delhi,59.76,University,Government
11,University of Delhi,New Delhi,Delhi,59.12,University,Government
12,Aligarh Muslim University,Aligarh,Uttar Pradesh,58.47,University,Government
13,Calcutta University,Kolkata,West Bengal,57.83,University,Government
14,Osmania University,Hyderabad,Telangana,57.19,University,Government
15,Pune University,Pune,Maharashtra,56.55,University,Government
16,Anna University,Chennai,Tamil Nadu,55.91,University,Government
17,Kerala University,Thiruvananthapuram,Kerala,55.27,University,Government
18,Mysore University,Mysuru,Karnataka,54.63,University,Government
19,Gujarat University,Ahmedabad,Gujarat,53.99,University,Government
20,Andhra University,Visakhapatnam,Andhra Pradesh,53.35,University,Government
21,Panjab University,Chandigarh,Punjab,52.71,University,Government
22,Symbiosis International University,Pune,Maharashtra,52.07,University,Private
23,KIIT University,Bhubaneswar,Odisha,51.43,University,Private
24,Lovely Professional University,Phagwara,Punjab,50.79,University,Private
25,Shoolini University,Solan,Himachal Pradesh,50.15,University,Private
1,AIIMS New Delhi,New Delhi,Delhi,91.88,Medical,Government
2,PGIMER Chandigarh,Chandigarh,Punjab,82.14,Medical,Government
3,CMC Vellore,Vellore,Tamil Nadu,77.23,Medical,Private
4,JIPMER Puducherry,Puducherry,Puducherry,75.41,Medical,Government
5,Amrita Institute of Medical Sciences,Kochi,Kerala,70.89,Medical,Private
6,Kasturba Medical College Manipal,Manipal,Karnataka,69.34,Medical,Private
7,AIIMS Jodhpur,Jodhpur,Rajasthan,68.12,Medical,Government
8,SGPGI Lucknow,Lucknow,Uttar Pradesh,66.78,Medical,Government
9,St. John's Medical College,Bengaluru,Karnataka,65.45,Medical,Private
10,Jawaharlal Nehru Medical College,Belgaum,Karnataka,64.12,Medical,Private
11,Madras Medical College,Chennai,Tamil Nadu,63.89,Medical,Government
12,Grant Medical College Mumbai,Mumbai,Maharashtra,62.67,Medical,Government
13,King George Medical University,Lucknow,Uttar Pradesh,61.34,Medical,Government
14,Maulana Azad Medical College,New Delhi,Delhi,60.12,Medical,Government
15,Seth GS Medical College,Mumbai,Maharashtra,58.89,Medical,Government
1,IIM Ahmedabad,Ahmedabad,Gujarat,85.34,Management,Government
2,IIM Bengaluru,Bengaluru,Karnataka,83.12,Management,Government
3,IIM Calcutta,Kolkata,West Bengal,81.45,Management,Government
4,IIM Kozhikode,Kozhikode,Kerala,73.89,Management,Government
5,IIM Lucknow,Lucknow,Uttar Pradesh,72.56,Management,Government
6,IIM Indore,Indore,Madhya Pradesh,71.23,Management,Government
7,XLRI Jamshedpur,Jamshedpur,Jharkhand,70.89,Management,Private
8,IIM Shillong,Shillong,Meghalaya,68.45,Management,Government
9,MDI Gurgaon,Gurugram,Haryana,67.12,Management,Private
10,IIM Rohtak,Rohtak,Haryana,65.78,Management,Government
11,SPJIMR Mumbai,Mumbai,Maharashtra,64.45,Management,Private
12,IIM Trichy,Tiruchirappalli,Tamil Nadu,63.12,Management,Government
13,IIFT New Delhi,New Delhi,Delhi,61.78,Management,Government
14,IMT Ghaziabad,Ghaziabad,Uttar Pradesh,60.45,Management,Private
15,FORE School of Management,New Delhi,Delhi,59.12,Management,Private
1,NLSIU Bengaluru,Bengaluru,Karnataka,74.23,Law,Government
2,NLU Delhi,New Delhi,Delhi,72.89,Law,Government
3,NALSAR Hyderabad,Hyderabad,Telangana,70.45,Law,Government
4,NLU Jodhpur,Jodhpur,Rajasthan,68.12,Law,Government
5,WBNUJS Kolkata,Kolkata,West Bengal,66.78,Law,Government
6,NLU Bhopal (NLIU),Bhopal,Madhya Pradesh,65.45,Law,Government
7,NLU Gandhinagar,Gandhinagar,Gujarat,64.12,Law,Government
8,HNLU Raipur,Raipur,Chhattisgarh,62.78,Law,Government
9,RGNUL Patiala,Patiala,Punjab,61.45,Law,Government
10,CNLU Patna,Patna,Bihar,60.12,Law,Government
